id,lat,lon,timestamp,source_url,license,name,kind,description
wd-Q806191-medici-bank,43.771388888,11.254166666,1397-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q806191,CC-BY-SA-4.0,Medici Bank,bank,bank of the Medici family
wd-Q134891586-compagnia-di-firenze,43.771388888,11.254166666,1397-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q134891586,CC-BY-SA-4.0,Compagnia di Firenze,bank,italian investment bank and financial services company
wd-Q46730-banca-monte-dei-paschi-di-siena,43.321429,11.33078,1472-03-13T00:00:00Z,https://www.wikidata.org/wiki/Q46730,CC-BY-SA-4.0,Banca Monte dei Paschi di Siena,bank,Italian bank
wd-Q3633695-banca-carige,44.407186111,8.933983333,1483-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q3633695,CC-BY-SA-4.0,Banca Carige,bank,former Italian bank
wd-Q73732467-bank-of-venice,45.43908796,12.335262,1587-04-11T00:00:00Z,https://www.wikidata.org/wiki/Q73732467,CC-BY-SA-4.0,Bank of Venice,bank,first national bank in Europe
wd-Q670792-berenberg-bank,53.55,10,1590-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q670792,CC-BY-SA-4.0,Berenberg Bank,bank,German private bank based in Hamburg
wd-Q123385399-q123385399,45.133333,7.05,1600-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q123385399,CC-BY-SA-4.0,Q123385399,bank,
wd-Q478744-bank-of-amsterdam,52.366666666,4.883333333,1609-01-31T00:00:00Z,https://www.wikidata.org/wiki/Q478744,CC-BY-SA-4.0,Bank of Amsterdam,bank,Early (Dutch) bank
wd-Q23930611-mount-of-piety,50.846666666,4.351666666,1618-09-28T00:00:00Z,https://www.wikidata.org/wiki/Q23930611,CC-BY-SA-4.0,Mount of Piety,bank,mount of piety in Brussels
wd-Q17622298-banco-del-giro,45.439722222,12.331944444,1619-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q17622298,CC-BY-SA-4.0,Banco del Giro,bank,Venetian bank
wd-Q878301-hamburger-bank,53.55,10,1619-03-02T00:00:00Z,https://www.wikidata.org/wiki/Q878301,CC-BY-SA-4.0,Hamburger Bank,bank,"bank in Germany, 1763-1875"
wd-Q2009139-oberbank,48.305833333,14.286388888,1650-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q2009139,CC-BY-SA-4.0,Oberbank,bank,Austrian banking company
wd-Q1365713-stockholms-banco,59.329444444,18.068611111,1656-11-30T00:00:00Z,https://www.wikidata.org/wiki/Q1365713,CC-BY-SA-4.0,Stockholms Banco,bank,bank
wd-Q5097688-child-co,51.507222222,-0.1275,1664-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q5097688,CC-BY-SA-4.0,Child & Co.,bank,private bank in the City of London
wd-Q3338624-q3338624,48.856666666,2.352222222,1667-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q3338624,CC-BY-SA-4.0,Q3338624,bank,
wd-Q564652-sveriges-riksbank,59.33174444,18.06596389,1668-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q564652,CC-BY-SA-4.0,Sveriges Riksbank,bank,central bank of Sweden
wd-Q3371149-c-hoare-co,51.5139,-0.109819,1672-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q3371149,CC-BY-SA-4.0,C. Hoare & Co,bank,"British private bank on Fleet Street, London, founded in 1672"
wd-Q11354322-mitsui-bank,35.689444444,139.691666666,1680-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q11354322,CC-BY-SA-4.0,Mitsui Bank,bank,business
wd-Q245343-barclays,51.505277777,-0.014444444,1690-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q245343,CC-BY-SA-4.0,Barclays,bank,British bank
wd-Q3696285-coutts,51.5114,-0.119,1692-05-01T00:00:00Z,https://www.wikidata.org/wiki/Q3696285,CC-BY-SA-4.0,Coutts,bank,private bank and a wealth manager
wd-Q183231-bank-of-england,51.514239,-0.088588,1694-07-27T00:00:00Z,https://www.wikidata.org/wiki/Q183231,CC-BY-SA-4.0,Bank of England,bank,central bank of the United Kingdom
wd-Q627381-bank-of-scotland,55.953333333,-3.189166666,1695-07-17T00:00:00Z,https://www.wikidata.org/wiki/Q627381,CC-BY-SA-4.0,Bank of Scotland,bank,"commercial and clearing bank based in Edinburgh, Scotland"
wd-Q63229914-monte-de-piedad-madrid,40.417806365,-3.706007766,1702-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q63229914,CC-BY-SA-4.0,"Monte de Piedad, Madrid",bank,"financial institution of Madrid, Spain"
wd-Q1184020-bethmann-bank,50.110555555,8.682222222,1712-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q1184020,CC-BY-SA-4.0,Bethmann Bank,bank,German private bank
wd-Q16531262-banque-mallet,48.856666666,2.352222222,1713-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q16531262,CC-BY-SA-4.0,Banque Mallet,bank,French Bank (1713-1966)
wd-Q28494694-banque-go-in,47.392777777,0.688333333,1714-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q28494694,CC-BY-SA-4.0,Banque Goüin,bank,
wd-Q2747836-banco-etcheverr-a,43.37385694,-8.400027032,1717-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q2747836,CC-BY-SA-4.0,Banco Etcheverría,bank,
