id,lat,lon,timestamp,source_url,license,title,country,description
wd-Q5508941-fundamental-constitutions-of-carolina,32.783333333,-79.931944444,1669-03-01T00:00:00Z,https://www.wikidata.org/wiki/Q5508941,CC-BY-SA-4.0,Fundamental Constitutions of Carolina,Province of Carolina,constitution of the Province of Carolina
wd-Q5253253-delaware-constitution-of-1776,39.161662,-75.525709,1776-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q5253253,CC-BY-SA-4.0,Delaware Constitution of 1776,Delaware,
wd-Q128810165-virginia-constitution-of-1776,37.540833333,-77.436666666,1776-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q128810165,CC-BY-SA-4.0,Virginia Constitution of 1776,Virginia,constitution of the US state of Virginia
wd-Q19889049-constitution-of-maryland,38.978611111,-76.491944444,1776-11-11T00:00:00Z,https://www.wikidata.org/wiki/Q19889049,CC-BY-SA-4.0,Constitution of Maryland,Maryland,four constitutions under which the U.S. state of Maryland has been governed
wd-Q6781291-constitution-of-maryland-1776,38.978611111,-76.491944444,1776-11-11T00:00:00Z,https://www.wikidata.org/wiki/Q6781291,CC-BY-SA-4.0,Constitution of Maryland (1776),Maryland,first constitution adopted by the U.S. state of Maryland
wd-Q19045260-georgia-state-constitution-of-1777,33.754444444,-84.389722222,1777-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q19045260,CC-BY-SA-4.0,Georgia State Constitution of 1777,Georgia,constitution of the US state of Georgia
wd-Q196171-constitution-of-massachusetts,42.360277777,-71.057777777,1779-10-30T00:00:00Z,https://www.wikidata.org/wiki/Q196171,CC-BY-SA-4.0,Constitution of Massachusetts,Massachusetts,state constitution
wd-Q11698-united-states-constitution,38.895,-77.036666666,1787-09-17T00:00:00Z,https://www.wikidata.org/wiki/Q11698,CC-BY-SA-4.0,United States Constitution,United States,"supreme law of the United States of America since March 4th, 1789"
wd-Q19045267-georgia-state-constitution-of-1789,33.754444444,-84.389722222,1789-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q19045267,CC-BY-SA-4.0,Georgia State Constitution of 1789,Georgia,constitution of the US state of Georgia
wd-Q2865738-articles-of-constitution-of-1789,48.856666666,2.352222222,1789-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q2865738,CC-BY-SA-4.0,Articles of constitution of 1789,France,French constitutional text
wd-Q19054103-constitution-of-the-commonwealth-of-pennsylvania-1790,40.264554871,-76.883381676,1790-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q19054103,CC-BY-SA-4.0,Constitution of the Commonwealth of Pennsylvania 1790,Pennsylvania,constitution of the US state of Pennsylvania
wd-Q5253257-delaware-constitution-of-1792,39.161662,-75.525709,1792-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q5253257,CC-BY-SA-4.0,Delaware Constitution of 1792,Delaware,
wd-Q19102365-louisiana-state-constitution-of-1812,29.976111111,-90.078333333,1812-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q19102365,CC-BY-SA-4.0,Louisiana State Constitution of 1812,Louisiana,
wd-Q19102365-louisiana-state-constitution-of-1812,30.4475,-91.178611111,1812-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q19102365,CC-BY-SA-4.0,Louisiana State Constitution of 1812,Louisiana,
wd-Q129072562-mississippi-constitution-of-1817,32.298888888,-90.184722222,1817-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q129072562,CC-BY-SA-4.0,Mississippi Constitution of 1817,Mississippi,constitution of the US state of Mississippi
wd-Q2995067-brazilian-constitution-of-1824,-22.911111111,-43.205555555,1824-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q2995067,CC-BY-SA-4.0,Brazilian Constitution of 1824,Empire of Brazil,Brazil's first constitution
wd-Q106615142-q106615142,51.366666666,10.866666666,1830-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q106615142,CC-BY-SA-4.0,Q106615142,Schwarzburg-Sondershausen,
wd-Q128810166-virginia-constitution-of-1830,37.540833333,-77.436666666,1830-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q128810166,CC-BY-SA-4.0,Virginia Constitution of 1830,Virginia,constitution of the US state of Virginia
