id,lat,lon,timestamp,source_url,license,sponsor,country,application_number,brand,generic,route,dosage_form,pharm_class,marketing_status,submission_type
ANDA076361,32.0853,34.7818,2014-09-19T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076361,openFDA-public,TEVA,IL,ANDA076361,LEVOFLOXACIN,LEVOFLOXACIN,ORAL,TABLET,,Prescription,SUPPL
ANDA080755,NaN,NaN,1973-03-20T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=080755,openFDA-public,EVERYLIFE,??,ANDA080755,FOLIC ACID,FOLIC ACID,ORAL,TABLET,,Discontinued,ORIG
ANDA083738,NaN,NaN,1974-03-06T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=083738,openFDA-public,BEL MAR,??,ANDA083738,PREDNISOLONE ACETATE,PREDNISOLONE ACETATE,INJECTION,INJECTABLE,,Discontinued,ORIG
NDA017503,49.9258,8.1167,1991-04-08T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017503,openFDA-public,BOEHRINGER INGELHEIM,DE,NDA017503,COMBIPRES,CHLORTHALIDONE,ORAL,TABLET,,Discontinued,SUPPL
ANDA077213,NaN,NaN,2023-08-08T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=077213,openFDA-public,HERITAGE PHARMA,??,ANDA077213,CITALOPRAM HYDROBROMIDE,CITALOPRAM HYDROBROMIDE,ORAL,TABLET,,Discontinued,SUPPL
NDA017452,NaN,NaN,1976-07-08T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017452,openFDA-public,BECTON DICKINSON,??,NDA017452,E-Z SCRUB,HEXACHLOROPHENE,TOPICAL,SPONGE,,Discontinued,ORIG
ANDA077521,17.385,78.4867,2019-12-10T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=077521,openFDA-public,AUROBINDO,IN,ANDA077521,NEVIRAPINE,NEVIRAPINE,ORAL,TABLET,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor [EPC],Prescription,SUPPL
ANDA077813,NaN,NaN,2022-11-01T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=077813,openFDA-public,BIONPHARMA,??,ANDA077813,ZONISAMIDE,ZONISAMIDE,ORAL,CAPSULE,,Prescription,SUPPL
ANDA078114,NaN,NaN,2008-03-18T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=078114,openFDA-public,BEDFORD,??,ANDA078114,CIPROFLOXACIN IN DEXTROSE 5% IN PLASTIC CONTAINER,CIPROFLOXACIN,INJECTION,INJECTABLE,,Discontinued,ORIG
ANDA078408,NaN,NaN,2008-02-13T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=078408,openFDA-public,EBEWE PHARMA,??,ANDA078408,VINORELBINE TARTRATE,VINORELBINE TARTRATE,INJECTION,INJECTABLE,,Discontinued,ORIG
ANDA078706,NaN,NaN,2014-03-26T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=078706,openFDA-public,UPSHER SMITH LABS,??,ANDA078706,ZALEPLON,ZALEPLON,ORAL,CAPSULE,,Discontinued,SUPPL
ANDA079012,NaN,NaN,2013-01-17T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=079012,openFDA-public,RISING,??,ANDA079012,VALACYCLOVIR HYDROCHLORIDE,VALACYCLOVIR HYDROCHLORIDE,ORAL,TABLET,,Prescription,SUPPL
NDA018668,32.0853,34.7818,1984-05-30T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018668,openFDA-public,TEVA BRANDED PHARM,IL,NDA018668,NORDETTE-21,ETHINYL ESTRADIOL,ORAL-21,TABLET,,Discontinued,SUPPL
ANDA090318,NaN,NaN,2014-09-23T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=090318,openFDA-public,RISING,??,ANDA090318,ROPIVACAINE HYDROCHLORIDE,ROPIVACAINE HYDROCHLORIDE,INJECTION,SOLUTION,,Discontinued,ORIG
ANDA084326,NaN,NaN,1986-02-06T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=084326,openFDA-public,WATSON LABS,??,ANDA084326,NITROFURANTOIN,NITROFURANTOIN,ORAL,CAPSULE,,Discontinued,SUPPL
ANDA084801,NaN,NaN,1982-06-25T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=084801,openFDA-public,LEDERLE,??,ANDA084801,CHLORPROMAZINE HYDROCHLORIDE,CHLORPROMAZINE HYDROCHLORIDE,ORAL,TABLET,,Discontinued,SUPPL
ANDA085756,NaN,NaN,1983-06-07T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=085756,openFDA-public,CAMALL,??,ANDA085756,CAM-METRAZINE,PHENDIMETRAZINE TARTRATE,ORAL,TABLET,,Discontinued,SUPPL
ANDA086840,NaN,NaN,1982-07-01T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=086840,openFDA-public,WATSON LABS,??,ANDA086840,HYDROXYZINE PAMOATE,HYDROXYZINE PAMOATE,ORAL,CAPSULE,,Discontinued,ORIG
ANDA087743,NaN,NaN,1990-05-11T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=087743,openFDA-public,ROXANE,??,ANDA087743,ROXIPRIN,ASPIRIN,ORAL,TABLET,,Discontinued,SUPPL
ANDA088088,NaN,NaN,2007-03-30T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=088088,openFDA-public,HIKMA INTL PHARMS,??,ANDA088088,ISOSORBIDE DINITRATE,ISOSORBIDE DINITRATE,ORAL,TABLET,Nitrate Vasodilator [EPC],Prescription,SUPPL
NDA018581,NaN,NaN,1998-01-16T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018581,openFDA-public,BAXTER HLTHCARE,??,NDA018581,SODIUM NITROPRUSSIDE,SODIUM NITROPRUSSIDE,INJECTION,INJECTABLE,,Discontinued,SUPPL
NDA018620,NaN,NaN,1992-07-17T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018620,openFDA-public,FOSUN PHARMA,??,NDA018620,METRONIDAZOLE,METRONIDAZOLE,ORAL,TABLET,,Discontinued,SUPPL
ANDA203024,NaN,NaN,2014-05-07T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203024,openFDA-public,L PERRIGO CO,??,ANDA203024,PANTOPRAZOLE SODIUM,PANTOPRAZOLE SODIUM,ORAL,"TABLET, DELAYED RELEASE",,Discontinued,ORIG
