id,lat,lon,timestamp,source_url,license,name,kind,description
wd-Q70164-johann-th-lde,51.2045,10.0644,1565-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q70164,CC-BY-SA-4.0,Johann Thölde,physicist,German writer and publisher
wd-Q71026-joachim-jungius,53.869722222,10.686388888,1587-10-22T00:00:00Z,https://www.wikidata.org/wiki/Q71026,CC-BY-SA-4.0,Joachim Jungius,physicist,German scholar of the XVIIth century
wd-Q71855-georg-bernhard-bilfinger,48.8056,9.2141,1693-01-23T00:00:00Z,https://www.wikidata.org/wiki/Q71855,CC-BY-SA-4.0,Georg Bernhard Bilfinger,physicist,German mathematician (1693-1750)
wd-Q75642-johann-sturm,49.183333333,11.183333333,1635-11-03T00:00:00Z,https://www.wikidata.org/wiki/Q75642,CC-BY-SA-4.0,Johann Sturm,physicist,Neuburger philosopher (1635–1703)
wd-Q76468-hans-lippershay,51.658611111,6.617777777,1570-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q76468,CC-BY-SA-4.0,Hans Lippershay,physicist,(1571-1619) German-Dutch spectacle-maker
wd-Q76698-johann-heinrich-schulze,52.316666666,11.616666666,1687-05-12T00:00:00Z,https://www.wikidata.org/wiki/Q76698,CC-BY-SA-4.0,Johann Heinrich Schulze,physicist,German professor and polymath (1687-1744)
wd-Q76738-athanasius-kircher,50.716666666,9.966666666,1602-05-02T00:00:00Z,https://www.wikidata.org/wiki/Q76738,CC-BY-SA-4.0,Athanasius Kircher,physicist,German Jesuit scholar (1601 or 1602-1680)
wd-Q77288-ehrenfried-walther-von-tschirnhaus,51.18027778,15.17305556,1651-04-10T00:00:00Z,https://www.wikidata.org/wiki/Q77288,CC-BY-SA-4.0,Ehrenfried Walther von Tschirnhaus,physicist,German mathematician and philosopher (*1651 – †1708)
wd-Q77520-thomas-fincke,54.781944444,9.436666666,1561-01-16T00:00:00Z,https://www.wikidata.org/wiki/Q77520,CC-BY-SA-4.0,Thomas Fincke,physicist,Danish mathematician and physician (1561-1656)
wd-Q85153-johan-gabriel-doppelmayr,49.453888888,11.0775,1677-09-27T00:00:00Z,https://www.wikidata.org/wiki/Q85153,CC-BY-SA-4.0,Johan Gabriel Doppelmayr,physicist,German astronomer (1677–1750)
