id,lat,lon,timestamp,source_url,license,title,kind,description
wd-Q122852318-2023-nagorno-karabakh-ceasefire-agreement,39.81528,46.75194,2023-09-20T00:00:00Z,https://www.wikidata.org/wiki/Q122852318,CC-BY-SA-4.0,2023 Nagorno-Karabakh ceasefire agreement,treaty,Ceasefire agreement ending Azerbaijani military offensive
wd-Q101429497-2020-nagorno-karabakh-ceasefire-agreement,40.366656,49.835183,2020-11-09T00:00:00Z,https://www.wikidata.org/wiki/Q101429497,CC-BY-SA-4.0,2020 Nagorno-Karabakh ceasefire agreement,treaty,armistice agreement ending the Nagorno-Karabakh war
wd-Q98371472-israel-united-arab-emirates-normalization-agreement,38.895,-77.0367,2020-09-15T00:00:00Z,https://www.wikidata.org/wiki/Q98371472,CC-BY-SA-4.0,Israel–United Arab Emirates normalization agreement,treaty,2020 agreement between Israel and the UAE
wd-Q99207513-bahrain-israel-peace-agreement,38.8978,-77.0367,2020-09-15T00:00:00Z,https://www.wikidata.org/wiki/Q99207513,CC-BY-SA-4.0,Bahrain–Israel peace agreement,treaty,peace agreement between the countries of Bahrain and Israel
wd-Q55153903-prespa-agreement,40.830186,21.029454,2018-06-17T00:00:00Z,https://www.wikidata.org/wiki/Q55153903,CC-BY-SA-4.0,Prespa agreement,treaty,2018 settlement of the Macedonia naming dispute
wd-Q50822331-african-continental-free-trade-agreement,-1.9536,30.0606,2018-03-21T00:00:00Z,https://www.wikidata.org/wiki/Q50822331,CC-BY-SA-4.0,African Continental Free Trade Agreement,treaty,trade agreement
wd-Q1366688-trans-pacific-partnership,-41.2889,174.7772,2016-02-04T00:00:00Z,https://www.wikidata.org/wiki/Q1366688,CC-BY-SA-4.0,Trans-Pacific Partnership,treaty,2016 proposed trade agreement
wd-Q21707860-paris-agreement,48.8567,2.3522,2015-12-12T00:00:00Z,https://www.wikidata.org/wiki/Q21707860,CC-BY-SA-4.0,Paris Agreement,treaty,"international agreement from 12 December 2015 within the United Nations Framework Convention on Climate Change (UNFCCC) dealing with greenhouse gas emissions mitigation, adaptation and finance starting in the year 2020"
wd-Q1697391-convention-on-preventing-and-combating-violence-against-women-and-domestic-vio,41.01,28.9603,2014-08-01T00:00:00Z,https://www.wikidata.org/wiki/Q1697391,CC-BY-SA-4.0,Convention on preventing and combating violence against women and domestic violence,treaty,"Council of Europe convention against gender violence signed in Istanbul, Turkey"
wd-Q12163419-ukraine-european-union-association-agreement,50.8467,4.3525,2014-03-21T00:00:00Z,https://www.wikidata.org/wiki/Q12163419,CC-BY-SA-4.0,Ukraine–European Union Association Agreement,treaty,2014 treaty
